Tree	q1	q2	cellpop	coars	cryst	dens	mfa	moe	rad	rwidth	specsurf	tad	cellwt	h97
E560A3_2_044_3	-5.12	2.467	1474.8662	309.781	2.598	458.9828	16.2264	11.5189	27.3731	2.2136	359.8018	25.7447	2.182	580
E560A3_2_044_4	-2.943	2.255	1384.5757	305.7965	2.5513	420.8949	21.6204	9.0668	28.7762	2.7398	378.1713	26.336	2.0478	610
E560A3_2_045_2	0.903	0.383	1415.9129	301.4269	2.6097	419.5449	20.0878	9.6255	28.718	2.8732	373.8603	26.0522	2.0155	415
E560A3_2_045_4	-4.968	2.622	1242.8707	298.1828	2.5412	368.0862	22.7574	7.3741	29.6333	3.4609	410.3424	28.351	1.8687	720
E560A3_2_045_5	-4.988	0.891	1287.3355	308.7209	2.5936	396.8219	22.5095	8.5212	29.1512	4.5217	382.9035	28.0517	1.9804	650
E560A3_2_046_4	-3.018	-2.132	1610.8457	266.3106	2.6174	427.1944	16.8831	10.9665	26.5189	3.2694	400.187	24.3564	1.9298	545
E560A3_2_047_3	-5.89	-2.337	1661.9976	297.422	2.6139	497.3734	12.2741	14.7062	24.6037	1.925	348.6169	25.1369	2.2418	440
E560A3_2_048_5	-1.971	-0.669	1304.517	316.352	2.5834	409.9662	16.8346	10.0988	29.0256	3.05	369.6167	27.5777	2.0455	570
E560A3_2_049_1	-3.746	-2.813	1226.2498	326.4144	2.5894	397.6519	17.4631	10.0027	30.1809	3.5288	380.4442	28.2773	2.0491	600
E560A3_2_049_5	-4.431	-1.271	1290.3908	334.6142	2.5922	433.3284	19.0687	9.7655	29.372	3.0837	358.3502	27.4369	2.1859	450
E560A3_2_050_5	-5.184	-2.762	1473.0161	310.9303	2.6144	459.8937	11.6735	13.2783	26.7895	3.2524	357.4768	26.2502	2.1874	540
E560A3_2_051_3	-19.707	8.5	1160.9321	302.3183	2.5334	351.1713	21.1308	7.1733	33.1274	4.05	417.5683	27.1063	1.8236	615
E560A3_2_052_1	-19.737	9.134	1350.7981	293.4775	2.5909	397.0587	16.5971	10.3499	29.5932	2.5637	398.229	25.9512	1.9397	490
E560A3_2_052_3	-18.87	10.166	1375.0687	295.1957	2.7919	403.9204	17.4342	10.75	29.238	3.5632	388.26	25.9414	1.9589	580
E560A3_2_052_4	-36.474	18.384	1660.5437	247.8448	2.6364	408.8039	21.8367	8.2968	26.4778	1.3269	414.733	23.3874	1.8042	520
E560A3_2_052_5	-36.876	18.572	1672.8163	254.5852	2.6048	427.5033	21.7184	8.6697	26.9951	2.9194	404.5141	22.6998	1.8788	275
E560A3_2_054_2	-3.638	0.751	1433.3049	280.1629	2.5343	400.9858	21.9889	7.9276	28.4994	2.8898	399.2722	25.3631	1.9028	570
